CustomerID|Name|Age|Country|PurchaseAmount|PurchaseDate
1001|Customer_1|20|USA|50.0|2024-01-01
1002|Customer_2|21|Canada|51.5|2024-01-02
1003|Customer_3|22|UK|53.0|2024-01-03
1004|Customer_4|23|Germany|54.5|2024-01-04
1005|Customer_5|24|France|56.0|2024-01-05
1006|Customer_6|25|USA|57.5|2024-01-06
1007|Customer_7|26|Canada|59.0|2024-01-07
1008|Customer_8|27|UK|60.5|2024-01-08
1009|Customer_9|28|Germany|62.0|2024-01-09
1010|Customer_10|29|France|63.5|2024-01-10
1011|Customer_11|30|USA|65.0|2024-01-11
1012|Customer_12|31|Canada|66.5|2024-01-12
1013|Customer_13|32|UK|68.0|2024-01-13
1014|Customer_14|33|Germany|69.5|2024-01-14
1015|Customer_15|34|France|71.0|2024-01-15
1016|Customer_16|35|USA|72.5|2024-01-16
1017|Customer_17|36|Canada|74.0|2024-01-17
1018|Customer_18|37|UK|75.5|2024-01-18
1019|Customer_19|38|Germany|77.0|2024-01-19
1020|Customer_20|39|France|78.5|2024-01-20
1021|Customer_21|40|USA|80.0|2024-01-21
1022|Customer_22|41|Canada|81.5|2024-01-22
1023|Customer_23|42|UK|83.0|2024-01-23
1024|Customer_24|43|Germany|84.5|2024-01-24
1025|Customer_25|44|France|86.0|2024-01-25
1026|Customer_26|45|USA|87.5|2024-01-26
1027|Customer_27|46|Canada|89.0|2024-01-27
1028|Customer_28|47|UK|90.5|2024-01-28
1029|Customer_29|48|Germany|92.0|2024-01-29
1030|Customer_30|49|France|93.5|2024-01-30
1031|Customer_31|20|USA|95.0|2024-01-31
1032|Customer_32|21|Canada|96.5|2024-02-01
1033|Customer_33|22|UK|98.0|2024-02-02
1034|Customer_34|23|Germany|99.5|2024-02-03
1035|Customer_35|24|France|101.0|2024-02-04
1036|Customer_36|25|USA|102.5|2024-02-05
1037|Customer_37|26|Canada|104.0|2024-02-06
1038|Customer_38|27|UK|105.5|2024-02-07
1039|Customer_39|28|Germany|107.0|2024-02-08
1040|Customer_40|29|France|108.5|2024-02-09
1041|Customer_41|30|USA|110.0|2024-02-10
1042|Customer_42|31|Canada|111.5|2024-02-11
1043|Customer_43|32|UK|113.0|2024-02-12
1044|Customer_44|33|Germany|114.5|2024-02-13
1045|Customer_45|34|France|116.0|2024-02-14
1046|Customer_46|35|USA|117.5|2024-02-15
1047|Customer_47|36|Canada|119.0|2024-02-16
1048|Customer_48|37|UK|120.5|2024-02-17
1049|Customer_49|38|Germany|122.0|2024-02-18
1050|Customer_50|39|France|123.5|2024-02-19
1051|Customer_51|40|USA|125.0|2024-02-20
1052|Customer_52|41|Canada|126.5|2024-02-21
1053|Customer_53|42|UK|128.0|2024-02-22
1054|Customer_54|43|Germany|129.5|2024-02-23
1055|Customer_55|44|France|131.0|2024-02-24
1056|Customer_56|45|USA|132.5|2024-02-25
1057|Customer_57|46|Canada|134.0|2024-02-26
1058|Customer_58|47|UK|135.5|2024-02-27
1059|Customer_59|48|Germany|137.0|2024-02-28
1060|Customer_60|49|France|138.5|2024-02-29
1061|Customer_61|20|USA|140.0|2024-03-01
1062|Customer_62|21|Canada|141.5|2024-03-02
1063|Customer_63|22|UK|143.0|2024-03-03
1064|Customer_64|23|Germany|144.5|2024-03-04
1065|Customer_65|24|France|146.0|2024-03-05
1066|Customer_66|25|USA|147.5|2024-03-06
1067|Customer_67|26|Canada|149.0|2024-03-07
1068|Customer_68|27|UK|150.5|2024-03-08
1069|Customer_69|28|Germany|152.0|2024-03-09
1070|Customer_70|29|France|153.5|2024-03-10
1071|Customer_71|30|USA|155.0|2024-03-11
1072|Customer_72|31|Canada|156.5|2024-03-12
1073|Customer_73|32|UK|158.0|2024-03-13
1074|Customer_74|33|Germany|159.5|2024-03-14
1075|Customer_75|34|France|161.0|2024-03-15
1076|Customer_76|35|USA|162.5|2024-03-16
1077|Customer_77|36|Canada|164.0|2024-03-17
1078|Customer_78|37|UK|165.5|2024-03-18
1079|Customer_79|38|Germany|167.0|2024-03-19
1080|Customer_80|39|France|168.5|2024-03-20
1081|Customer_81|40|USA|170.0|2024-03-21
1082|Customer_82|41|Canada|171.5|2024-03-22
1083|Customer_83|42|UK|173.0|2024-03-23
1084|Customer_84|43|Germany|174.5|2024-03-24
1085|Customer_85|44|France|176.0|2024-03-25
1086|Customer_86|45|USA|177.5|2024-03-26
1087|Customer_87|46|Canada|179.0|2024-03-27
1088|Customer_88|47|UK|180.5|2024-03-28
1089|Customer_89|48|Germany|182.0|2024-03-29
1090|Customer_90|49|France|183.5|2024-03-30
1091|Customer_91|20|USA|185.0|2024-03-31
1092|Customer_92|21|Canada|186.5|2024-04-01
1093|Customer_93|22|UK|188.0|2024-04-02
1094|Customer_94|23|Germany|189.5|2024-04-03
1095|Customer_95|24|France|191.0|2024-04-04
1096|Customer_96|25|USA|192.5|2024-04-05
1097|Customer_97|26|Canada|194.0|2024-04-06
1098|Customer_98|27|UK|195.5|2024-04-07
1099|Customer_99|28|Germany|197.0|2024-04-08
1100|Customer_100|29|France|198.5|2024-04-09
1101|Customer_101|30|USA|200.0|2024-04-10
1102|Customer_102|31|Canada|201.5|2024-04-11
1103|Customer_103|32|UK|203.0|2024-04-12
1104|Customer_104|33|Germany|204.5|2024-04-13
1105|Customer_105|34|France|206.0|2024-04-14
1106|Customer_106|35|USA|207.5|2024-04-15
1107|Customer_107|36|Canada|209.0|2024-04-16
1108|Customer_108|37|UK|210.5|2024-04-17
1109|Customer_109|38|Germany|212.0|2024-04-18
1110|Customer_110|39|France|213.5|2024-04-19
1111|Customer_111|40|USA|215.0|2024-04-20
1112|Customer_112|41|Canada|216.5|2024-04-21
1113|Customer_113|42|UK|218.0|2024-04-22
1114|Customer_114|43|Germany|219.5|2024-04-23
1115|Customer_115|44|France|221.0|2024-04-24
1116|Customer_116|45|USA|222.5|2024-04-25
1117|Customer_117|46|Canada|224.0|2024-04-26
1118|Customer_118|47|UK|225.5|2024-04-27
1119|Customer_119|48|Germany|227.0|2024-04-28
1120|Customer_120|49|France|228.5|2024-04-29
1121|Customer_121|20|USA|230.0|2024-04-30
1122|Customer_122|21|Canada|231.5|2024-05-01
1123|Customer_123|22|UK|233.0|2024-05-02
1124|Customer_124|23|Germany|234.5|2024-05-03
1125|Customer_125|24|France|236.0|2024-05-04
1126|Customer_126|25|USA|237.5|2024-05-05
1127|Customer_127|26|Canada|239.0|2024-05-06
1128|Customer_128|27|UK|240.5|2024-05-07
1129|Customer_129|28|Germany|242.0|2024-05-08
1130|Customer_130|29|France|243.5|2024-05-09
1131|Customer_131|30|USA|245.0|2024-05-10
1132|Customer_132|31|Canada|246.5|2024-05-11
1133|Customer_133|32|UK|248.0|2024-05-12
1134|Customer_134|33|Germany|249.5|2024-05-13
1135|Customer_135|34|France|51.0|2024-05-14
1136|Customer_136|35|USA|52.5|2024-05-15
1137|Customer_137|36|Canada|54.0|2024-05-16
1138|Customer_138|37|UK|55.5|2024-05-17
1139|Customer_139|38|Germany|57.0|2024-05-18
1140|Customer_140|39|France|58.5|2024-05-19
1141|Customer_141|40|USA|60.0|2024-05-20
1142|Customer_142|41|Canada|61.5|2024-05-21
1143|Customer_143|42|UK|63.0|2024-05-22
1144|Customer_144|43|Germany|64.5|2024-05-23
1145|Customer_145|44|France|66.0|2024-05-24
1146|Customer_146|45|USA|67.5|2024-05-25
1147|Customer_147|46|Canada|69.0|2024-05-26
1148|Customer_148|47|UK|70.5|2024-05-27
1149|Customer_149|48|Germany|72.0|2024-05-28
1150|Customer_150|49|France|73.5|2024-05-29
1151|Customer_151|20|USA|75.0|2024-05-30
1152|Customer_152|21|Canada|76.5|2024-05-31
1153|Customer_153|22|UK|78.0|2024-06-01
1154|Customer_154|23|Germany|79.5|2024-06-02
1155|Customer_155|24|France|81.0|2024-06-03
1156|Customer_156|25|USA|82.5|2024-06-04
1157|Customer_157|26|Canada|84.0|2024-06-05
1158|Customer_158|27|UK|85.5|2024-06-06
1159|Customer_159|28|Germany|87.0|2024-06-07
1160|Customer_160|29|France|88.5|2024-06-08
1161|Customer_161|30|USA|90.0|2024-06-09
1162|Customer_162|31|Canada|91.5|2024-06-10
1163|Customer_163|32|UK|93.0|2024-06-11
1164|Customer_164|33|Germany|94.5|2024-06-12
1165|Customer_165|34|France|96.0|2024-06-13
1166|Customer_166|35|USA|97.5|2024-06-14
1167|Customer_167|36|Canada|99.0|2024-06-15
1168|Customer_168|37|UK|100.5|2024-06-16
1169|Customer_169|38|Germany|102.0|2024-06-17
1170|Customer_170|39|France|103.5|2024-06-18
1171|Customer_171|40|USA|105.0|2024-06-19
1172|Customer_172|41|Canada|106.5|2024-06-20
1173|Customer_173|42|UK|108.0|2024-06-21
1174|Customer_174|43|Germany|109.5|2024-06-22
1175|Customer_175|44|France|111.0|2024-06-23
1176|Customer_176|45|USA|112.5|2024-06-24
1177|Customer_177|46|Canada|114.0|2024-06-25
1178|Customer_178|47|UK|115.5|2024-06-26
1179|Customer_179|48|Germany|117.0|2024-06-27
1180|Customer_180|49|France|118.5|2024-06-28
1181|Customer_181|20|USA|120.0|2024-06-29
1182|Customer_182|21|Canada|121.5|2024-06-30
1183|Customer_183|22|UK|123.0|2024-07-01
1184|Customer_184|23|Germany|124.5|2024-07-02
1185|Customer_185|24|France|126.0|2024-07-03
1186|Customer_186|25|USA|127.5|2024-07-04
1187|Customer_187|26|Canada|129.0|2024-07-05
1188|Customer_188|27|UK|130.5|2024-07-06
1189|Customer_189|28|Germany|132.0|2024-07-07
1190|Customer_190|29|France|133.5|2024-07-08
1191|Customer_191|30|USA|135.0|2024-07-09
1192|Customer_192|31|Canada|136.5|2024-07-10
1193|Customer_193|32|UK|138.0|2024-07-11
1194|Customer_194|33|Germany|139.5|2024-07-12
1195|Customer_195|34|France|141.0|2024-07-13
1196|Customer_196|35|USA|142.5|2024-07-14
1197|Customer_197|36|Canada|144.0|2024-07-15
1198|Customer_198|37|UK|145.5|2024-07-16
